Day	Scott_River_Avg_Flow_m3day	South_Fork_Avg_Flow_m3day	Wildcat_Avg_Flow_m3day	Sugar_Avg_Flow_m3day	McConaughy_Main_Avg_Flow_m3day	McConaughy_Branch_Avg_Flow_m3day	Miners_Avg_Flow_m3day	French_Avg_Flow_m3day	Clark_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Heartstrand_Avg_Flow_m3day	Shell_Avg_Flow_m3day	Hamlin_Avg_Flow_m3day	Johnson_Avg_Flow_m3day	Crystal_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	McAdams_Avg_Flow_m3day	Indian_Avg_Flow_m3day	Rattlesnake_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day	Sniktaw_Avg_Flow_m3day	Patterson_North_Avg_Flow_m3day
1990-10-01	8802.33729654597	9249.32907598867	595.499721490714	2436.55781689647	1087.75339430884	165.14474609952	877.102095950784	2263.58398653742	367.722301314931	1930.35858774106	2084.2490252175	396.347390638848	1898.30827405359	3525.53450562086	202.577555215411	1378.16348856088	2951.80942472698	4110.51389513783	519.9001266096	1921.06155018286	704.372924474842	4746.38233234176	1584.41092702295	59.6967674789376	560.758160089037
1990-10-02	7794.83201589734	7963.1573274773	527.239893102912	2130.24489524225	1022.42947251836	158.538956255539	679.662377280691	1739.28000003183	318.30120692663	1844.97263753553	2014.27658464792	365.765030250048	1790.65836548502	3473.17750463524	198.173695319424	1351.25101141874	2893.09129278048	3658.62893803292	509.624453518963	1422.20208752076	503.507981441203	4501.23413146514	1546.24414125773	54.3142720505088	372.126161210918
1990-10-03	6940.23853719272	7149.42188225211	471.21300887063	1935.9857420526	966.64724716919	152.66714306089	546.323285985523	1405.07596570303	279.889762278298	1785.27587005659	1961.43026589608	343.990389653222	1705.27241527949	3427.91561125981	194.503812072768	1327.76375864014	2840.73429179485	3363.08100723556	506.688546921639	1059.12830498492	385.827058665101	4355.41743713134	1518.10836970003	52.3570009856256	264.476252642342
1990-10-04	6262.04411321069	6505.72436078865	423.504526664102	1777.69144468017	910.620362936909	146.79532986624	446.74712055959	1165.31026025484	249.062743006387	1743.92851881093	1910.296559326	325.151655653722	1626.00293715172	3386.56826001416	191.567905475443	1307.9463891082	2796.45103395187	3150.96175557884	505.709911389197	820.096576186061	319.035183575962	4268.07421586093	1495.84441133699	51.6230243362944	206.492097345178
1990-10-05	5722.08195818604	5947.90210729693	384.359105366438	1639.7038346059	852.880866522854	140.67885778848	371.636843444698	983.773368986919	225.820149110899	1709.18695740925	1857.69489945727	309.493487134656	1550.15868338749	3345.46556765161	188.142681111898	1287.15038404381	2750.21050504401	2977.98792521979	505.220593622976	666.94011535895	275.2412434992	4208.86676614821	1478.47363063615	50.8890476869632	172.239853709722
1990-10-06	5321.82002541742	5661.16189629155	359.159240406067	1562.88094530924	806.884996498099	135.785680126272	329.066197783488	868.53903504192	211.140616124275	1679.33857366979	1811.94368831562	297.505201862246	1490.70657479167	3304.85219305528	184.717456748352	1265.13108456388	2702.01270507126	2852.47791818415	504.975934739866	572.991104244557	245.148200876621	4160.91362505857	1460.12421440287	50.3997299207424	149.486577580454
1990-10-07	5070.06603469682	5554.97994102163	342.033118588339	1520.55495853114	768.473551849766	131.381820230285	304.600309472448	799.545230004787	202.08823744919	1654.87268535875	1774.51087919973	287.47418765472	1442.99809258514	3269.37665500428	182.270867917248	1248.73893939548	2665.55853148781	2774.43173447194	504.731275856755	519.410808843379	227.777420175782	4118.09832051425	1441.77479816959	49.9104121545216	136.764315658714
1990-10-08	4906.14458301285	5459.31831772547	328.576880017267	1480.43090170103	733.73199044809	127.222619217408	286.495552122278	749.145500084045	195.72710648832	1635.54463359302	1738.79068226561	278.177150096525	1401.16142357326	3234.39043471949	180.313596852365	1234.79338305819	2633.99753556657	2714.49030810989	504.486616973645	489.3177662208	217.257088202035	4082.13346469702	1428.31855959852	49.6657532714112	128.935231399181
1990-10-09	4775.74139831501	5285.61051071708	316.588594744858	1429.05253624785	705.351560007283	123.797394853862	271.082042486323	702.660312293069	191.567905475443	1615.97192294419	1701.84719091594	269.12477142144	1360.54804897693	3198.42557890226	177.867008021261	1219.37987342223	2600.47926858044	2657.97410611139	504.241958090534	472.191644403072	210.406639474944	4048.85985659401	1416.57493320922	49.1764355051904	122.57410043831
1990-10-10	4661.97501766867	5066.39615145016	306.557580537331	1373.51496978179	678.194423982029	120.127511607206	258.849098330803	660.57898439808	189.36597552745	1594.68660011359	1665.14835844938	260.072392746355	1321.40262767927	3161.23742866948	175.175760307046	1202.0090927214	2562.55714169833	2602.43653964532	503.997299207424	462.160630195546	205.758120695846	4015.09693072477	1404.83130681992	48.6871177389696	117.925581659213
